mutation_rate,tournament_size,elite_rate,gen,best_fitness,avg_fitness
0.1,5,0.2,1,174.64691605755775,141.5517794563791
0.1,5,0.2,2,178.17912989183287,164.64604138444165
0.1,5,0.2,3,189.75099759491474,173.17644554237586
0.1,5,0.2,4,194.51523753935095,179.21521949316303
0.1,5,0.2,5,196.18634126394505,183.58565538300374
0.1,5,0.2,6,197.7152790693293,190.03246345258032
0.1,5,0.2,7,199.87523232427645,194.20573955650468
0.1,5,0.2,8,217.36858836505945,198.31762862612706
0.1,5,0.2,9,220.68181253008956,208.7354515396102
0.1,5,0.2,10,222.23794746499505,214.9618937353182
0.1,5,0.2,11,224.030758350992,217.7077580438475
0.1,5,0.2,12,233.4980988054176,223.75889863876367
0.2,2,0.2,0,174.64691605755775,123.93725940568496
0.2,2,0.2,1,174.64691605755775,149.4181526219527
0.2,2,0.2,2,178.81830693257564,162.11175473552936
0.2,2,0.2,3,178.81830693257564,154.84316818227023
0.2,2,0.2,4,189.24302150263588,161.01716693879047
0.2,2,0.2,5,189.24302150263588,166.0148848889581
0.2,2,0.2,6,189.51600804924163,170.33347902822402
0.2,2,0.2,7,194.44266355394907,177.94098258320034
0.2,2,0.2,8,209.81499434151664,189.72840377679344
0.2,2,0.2,9,214.77421458534855,195.3176549507911
0.2,2,0.2,10,222.3183051290838,202.7202884375489
0.2,2,0.2,11,239.10235521733966,210.14198186595988
0.2,2,0.2,12,239.10235521733966,214.7653312433884
0.2,3,0.2,0,174.64691605755775,123.93725940568496
0.2,3,0.2,1,174.64691605755775,149.9735631191275
0.2,3,0.2,2,175.77925515143556,162.84905624686684
0.2,3,0.2,3,184.9181572675499,163.57598979576687
0.2,3,0.2,4,193.71439699976642,176.28119121837767
0.2,3,0.2,5,208.9421397845534,182.81092961994028
0.2,3,0.2,6,221.23497890919347,188.49165310351876
0.2,3,0.2,7,230.7250220894531,199.56671196231324
0.2,3,0.2,8,239.51339236690842,210.55456295378008
0.2,3,0.2,9,239.51339236690842,205.71209210762848
0.2,3,0.2,10,245.05509484376898,214.98462417290023
0.2,3,0.2,11,245.05509484376898,217.85784173436542
0.2,3,0.2,12,245.05509484376898,229.19774958799263
0.2,5,0.2,0,174.64691605755775,123.93725940568496
0.2,5,0.2,1,174.64691605755775,143.06426926603922
0.2,5,0.2,2,178.9474375016876,166.54738463789363
