experiment,condition,seed,generation_count,gen,population_size,mutation_rate,tournament_size,elite_rate,architecture,parameter_count,input_pattern,weight_profile,best_fitness,avg_fitness
seed_repeat,default_0.05_t3,45,24,9,16,0.05,3,0.2,1x16,242,default,baseline,186.30776380690168,174.86101919754347
seed_repeat,default_0.05_t3,45,24,10,16,0.05,3,0.2,1x16,242,default,baseline,189.51854683998147,182.40526096441846
seed_repeat,default_0.05_t3,45,24,11,16,0.05,3,0.2,1x16,242,default,baseline,189.51854683998147,183.0187276783745
seed_repeat,default_0.05_t3,45,24,12,16,0.05,3,0.2,1x16,242,default,baseline,199.863880371178,185.13892007111127
seed_repeat,default_0.05_t3,45,24,13,16,0.05,3,0.2,1x16,242,default,baseline,199.863880371178,185.61016324853185
seed_repeat,default_0.05_t3,45,24,14,16,0.05,3,0.2,1x16,242,default,baseline,200.9866140871349,191.31758023163684
seed_repeat,default_0.05_t3,45,24,15,16,0.05,3,0.2,1x16,242,default,baseline,201.8941922020898,197.52308601814832
seed_repeat,default_0.05_t3,45,24,16,16,0.05,3,0.2,1x16,242,default,baseline,206.79207407547727,198.38445050094984
seed_repeat,default_0.05_t3,45,24,17,16,0.05,3,0.2,1x16,242,default,baseline,206.97717357132157,199.4908913821605
seed_repeat,default_0.05_t3,45,24,18,16,0.05,3,0.2,1x16,242,default,baseline,218.34796738863503,202.0030061328317
seed_repeat,default_0.05_t3,45,24,19,16,0.05,3,0.2,1x16,242,default,baseline,218.34796738863503,206.35469216506485
seed_repeat,default_0.05_t3,45,24,20,16,0.05,3,0.2,1x16,242,default,baseline,218.92592674087462,212.31469148509183
seed_repeat,default_0.05_t3,45,24,21,16,0.05,3,0.2,1x16,242,default,baseline,221.42580963507865,216.3668489055105
seed_repeat,default_0.05_t3,45,24,22,16,0.05,3,0.2,1x16,242,default,baseline,224.60984730392255,218.1089437372349
seed_repeat,default_0.05_t3,45,24,23,16,0.05,3,0.2,1x16,242,default,baseline,224.96177014417503,221.36248035278388
seed_repeat,default_0.05_t3,45,24,24,16,0.05,3,0.2,1x16,242,default,baseline,225.3703768733919,221.4238239914401
seed_repeat,default_0.05_t3,46,24,0,16,0.05,3,0.2,1x16,242,default,baseline,164.28817654436307,118.77169150605076
